label,text
疾病风险评估,帮我评估一下患者的糖尿病风险？
疾病风险评估,帮我评估一下患者的高血压风险？
疾病风险评估,帮我评估一下患者的ASCVD风险？
疾病风险评估,帮我评估一下患者的结肠癌风险？
管理建议,患者下次什么时候复诊？
检查结果查询解读,患者复诊前3天，应完成的居家血糖监测结果是？
预问诊与病情小结,患者最近一次的预问诊结果？
病史档案查询,患者有无过敏史？
病史档案查询,患者家族有遗传病史吗？
检查结果查询解读,最近患者的血压是多少？
检查结果查询解读,患者最近的体温是多少？
检查结果查询解读,患者的血糖水平是多少？
疾病风险评估,患者有心脏病的风险吗？
疾病风险评估,家族病史会增加糖尿病风险吗？
疾病风险评估,患者肥胖会增加健康风险吗？
检查结果查询解读,患者的BMI是多少？
检查结果查询解读,最近血脂检查结果如何？
预问诊与病情小结,患者的体重变化如何？
疾病风险评估,吸烟会增加患病风险吗？
疾病风险评估,年龄是否增加该病风险？
病史档案查询,患者是否曾有心脏病史？
病史档案查询,患者有无糖尿病史？
病史档案查询,患者是否有高血压？
检查结果查询解读,患者的脉搏频率是多少？
预问诊与病情小结,患者最近体重变化如何？
检查结果查询解读,患者的血氧水平是多少？
疾病风险评估,高血压会增加心脏病风险吗？
疾病风险评估,患者的生活方式是否影响健康？
病史档案查询,患者是否有药物过敏史？
病史档案查询,过往是否有肺部疾病？
病史档案查询,家族中有无癌症病史？
预问诊与病情小结,患者血压波动情况如何？
预问诊与病情小结,最近的心率变异情况如何？
检查结果查询解读,最近的肾功能检测结果如何？
疾病风险评估,高盐饮食是否会增加疾病风险？
用药指导,是否建议预防性使用药物？
病史档案查询,患者的家族是否有高血压史？
疾病风险评估,是否需要评估患者的心血管风险？
疾病风险评估,患者长期饮酒会增加风险吗？
疾病风险评估,患者的肥胖程度是否增加心脏病风险？
病史档案查询,患者是否有长期吸烟习惯？
病史档案查询,家族中有无糖尿病病史？
病史档案查询,患者是否有癌症的家族史？
预问诊与病情小结,患者主要的症状是什么？
预问诊与病情小结,患者是否有发热症状？
预问诊与病情小结,咳嗽持续了多长时间？
预问诊与病情小结,患者有无呼吸困难的情况？
